applicant_id,name,dob,gender,account_id,employment_type,monthly_salary,cibil_score,average_monthly_income,income_std,average_monthly_expense,average_existing_emi,average_cash_withdrawal,EMI,average_food,average_grocery,average_investment,average_rent,average_shopping,average_transfer,average_utility,total_credits,total_debits,total_transactions,monthly_surplus,emi_to_income_ratio,savings_ratio,income_stability
APP100001,Udyati Seth,1995-03-16,Female,100001,Private Salaried Employee,60000,760,60000.0,0.0,42367.833333333336,7814.666666666667,1990.0,7814.666666666667,3496.0,4566.5,3593.333333333333,14411.333333333334,2406.6666666666665,1850.5,2238.833333333333,360000,254207,60,17632.166666666664,0.1302444444444444,0.2938694444444444,1.0
APP100002,Dev Bhargava,1963-01-27,Male,100002,Govt Job,70000,790,70000.0,0.0,42861.333333333336,8231.833333333334,2108.6666666666665,8231.833333333334,3637.3333333333335,4646.166666666667,2968.5,12500.166666666666,3685.6666666666665,2402.333333333333,2680.6666666666665,420000,257168,60,27138.666666666664,0.117597619047619,0.387695238095238,1.0
APP100003,Aachal Murty,1976-04-10,Male,100003,Private Salaried Employee,45000,680,45000.0,0.0,44466.0,8325.0,2500.5,8325.0,3419.6666666666665,4355.5,3455.0,14482.5,2503.5,2859.6666666666665,2564.6666666666665,270000,266796,60,534.0,0.185,0.0118666666666666,1.0
APP100004,Oni Bora,1999-03-07,Male,100004,Govt Job,85000,820,85000.0,0.0,45710.16666666666,9022.5,2331.6666666666665,9022.5,3678.8333333333335,4880.5,3074.333333333333,13095.333333333334,3719.3333333333335,3662.1666666666665,2245.5,510000,274261,60,39289.833333333336,0.1061470588235294,0.4622333333333334,1.0
APP100005,Raghav Sem,1995-04-10,Female,100005,Private Salaried Employee,55000,720,55000.0,0.0,45036.833333333336,8800.5,2451.833333333333,8800.5,3602.333333333333,4741.833333333333,3612.5,12989.666666666666,2859.5,3133.6666666666665,2845.0,330000,270221,60,9963.166666666664,0.1600090909090909,0.1811484848484848,1.0
APP100006,Brijesh Dhingra,1975-02-27,Female,100006,Govt Job,50000,740,50000.0,0.0,42060.0,8767.166666666666,1971.0,8767.166666666666,3560.6666666666665,4286.666666666667,3066.1666666666665,12008.833333333334,2942.6666666666665,3195.5,2261.333333333333,300000,252360,60,7940.0,0.1753433333333333,0.1588,1.0
APP100007,Joshua Sule,1999-09-30,Male,100007,Private Salaried Employee,90000,810,90000.0,0.0,43080.66666666666,8267.166666666666,2301.333333333333,8267.166666666666,3161.1666666666665,4607.833333333333,2066.333333333333,14018.333333333334,3024.1666666666665,3217.1666666666665,2417.1666666666665,540000,258484,60,46919.333333333336,0.0918574074074074,0.521325925925926,1.0
APP100008,Ikbal Barad,1995-07-06,Male,100008,Private Salaried Employee,40000,650,40000.0,0.0,41972.833333333336,7887.0,2130.833333333333,7887.0,3113.833333333333,4582.5,3057.333333333333,12548.833333333334,3114.6666666666665,3081.1666666666665,2456.6666666666665,240000,251837,60,-1972.833333333336,0.197175,-0.0493208333333334,1.0
APP100009,Simon Jani,1961-10-09,Female,100009,Govt Job,65000,770,65000.0,0.0,44430.16666666666,8282.833333333334,2621.1666666666665,8282.833333333334,3718.5,4543.666666666667,2677.1666666666665,14254.666666666666,3255.1666666666665,3315.6666666666665,1761.3333333333333,390000,266581,60,20569.833333333336,0.1274282051282051,0.3164589743589744,1.0
APP100010,Ganga Vig,2000-06-01,Female,100010,Private Salaried Employee,75000,730,75000.0,0.0,43926.333333333336,7799.166666666667,2586.6666666666665,7799.166666666667,3168.0,4336.833333333333,2359.5,16116.833333333334,2205.5,3118.833333333333,2235.0,450000,263558,60,31073.666666666664,0.1039888888888889,0.4143155555555555,1.0
