Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,applicant_id,name,account_id,Account Number,account_role
2022/09/01 00:01,217824,806B17000,217824,806B17000,1449.49,Ruble,1449.49,Ruble,Reinvestment,0,APP100010,Ganga Vig,100010,806B17000,sender
2022/09/01 00:27,1132,80B723600,1132,80B723600,128615.67,Mexican Peso,128615.67,Mexican Peso,Reinvestment,0,APP100009,Simon Jani,100009,80B723600,sender
2022/09/01 00:03,335355,80CDEFD80,211,80CDF0390,246878.35,Brazil Real,246878.35,Brazil Real,Cheque,0,APP100008,Ikbal Barad,100008,80CDEFD80,sender
2022/09/01 01:03,32013,80E6E8680,32013,80E6E8680,1718.1,US Dollar,1718.1,US Dollar,Reinvestment,0,APP100007,Joshua Sule,100007,80E6E8680,sender
2022/09/01 05:14,224555,80F269580,224555,80F269580,3384.1,Euro,3384.1,Euro,Reinvestment,0,APP100006,Brijesh Dhingra,100006,80F269580,sender
2022/09/01 08:08,224555,80F269580,6052,80F266EE0,1098.71,Euro,1098.71,Euro,ACH,0,APP100006,Brijesh Dhingra,100006,80F269580,sender
2022/09/01 09:56,1132,80B723600,1132,80B723600,155.14,Mexican Peso,155.14,Mexican Peso,Reinvestment,0,APP100009,Simon Jani,100009,80B723600,sender
2022/09/01 17:16,127390,80BD8CF00,127390,80BD8CF00,64.11,US Dollar,64.11,US Dollar,Reinvestment,0,APP100005,Raghav Sem,100005,80BD8CF00,sender
2022/09/01 19:19,224555,80F269580,224555,80F269580,15.31,Euro,15.31,Euro,Reinvestment,0,APP100006,Brijesh Dhingra,100006,80F269580,sender
2022/09/01 21:45,217824,806B17000,217824,806B17000,235456.42,Ruble,235456.42,Ruble,Reinvestment,0,APP100010,Ganga Vig,100010,806B17000,sender
2022/09/02 03:57,32742,81047F300,22775,81047F350,781.14,Euro,781.14,Euro,Credit Card,0,APP100004,Oni Bora,100004,81047F300,sender
2022/09/02 03:39,217824,806B17000,7,806B149E0,373895.71,Ruble,373895.71,Ruble,ACH,0,APP100010,Ganga Vig,100010,806B17000,sender
2022/09/02 13:09,21884,80812BE00,222773,808448540,1928634.89,UK Pound,1928634.89,UK Pound,Cheque,0,APP100003,Aachal Murty,100003,80812BE00,sender
2022/09/02 13:09,21884,80812BE00,222773,808448540,22965.9,UK Pound,22965.9,UK Pound,Credit Card,0,APP100003,Aachal Murty,100003,80812BE00,sender
2022/09/02 13:29,21884,80812BE00,222773,808448540,3300700.78,UK Pound,3300700.78,UK Pound,Cash,0,APP100003,Aachal Murty,100003,80812BE00,sender
2022/09/02 13:14,21884,80812BE00,222773,808448540,697496.06,UK Pound,697496.06,UK Pound,ACH,0,APP100003,Aachal Murty,100003,80812BE00,sender
2022/09/02 23:33,331579,80B779D80,22806,80B779410,165.78,Euro,165.78,Euro,Cash,0,APP100001,Udyati Seth,100001,80B779D80,sender
2022/09/04 23:21,217824,806B17000,7,806B149E0,25732.11,Ruble,25732.11,Ruble,ACH,0,APP100010,Ganga Vig,100010,806B17000,sender
2022/09/09 02:13,32742,81047F300,22775,81047F350,781.14,Euro,781.14,Euro,Credit Card,0,APP100004,Oni Bora,100004,81047F300,sender
2022/09/09 15:21,331579,80B779D80,22806,80B779410,165.78,Euro,165.78,Euro,Cash,0,APP100001,Udyati Seth,100001,80B779D80,sender
2022/09/10 12:43,1132,80B723600,214,80B724100,65369.48,Mexican Peso,65369.48,Mexican Peso,ACH,0,APP100009,Simon Jani,100009,80B723600,sender
2022/09/01 00:01,217824,806B17000,217824,806B17000,1449.49,Ruble,1449.49,Ruble,Reinvestment,0,APP100010,Ganga Vig,100010,806B17000,receiver
2022/09/01 00:27,1132,80B723600,1132,80B723600,128615.67,Mexican Peso,128615.67,Mexican Peso,Reinvestment,0,APP100009,Simon Jani,100009,80B723600,receiver
2022/09/01 01:03,32013,80E6E8680,32013,80E6E8680,1718.1,US Dollar,1718.1,US Dollar,Reinvestment,0,APP100007,Joshua Sule,100007,80E6E8680,receiver
2022/09/01 05:14,224555,80F269580,224555,80F269580,3384.1,Euro,3384.1,Euro,Reinvestment,0,APP100006,Brijesh Dhingra,100006,80F269580,receiver
2022/09/01 09:56,1132,80B723600,1132,80B723600,155.14,Mexican Peso,155.14,Mexican Peso,Reinvestment,0,APP100009,Simon Jani,100009,80B723600,receiver
2022/09/01 17:16,127390,80BD8CF00,127390,80BD8CF00,64.11,US Dollar,64.11,US Dollar,Reinvestment,0,APP100005,Raghav Sem,100005,80BD8CF00,receiver
2022/09/01 19:19,224555,80F269580,224555,80F269580,15.31,Euro,15.31,Euro,Reinvestment,0,APP100006,Brijesh Dhingra,100006,80F269580,receiver
2022/09/01 21:45,217824,806B17000,217824,806B17000,235456.42,Ruble,235456.42,Ruble,Reinvestment,0,APP100010,Ganga Vig,100010,806B17000,receiver
2022/09/02 16:52,325630,809D8A770,210,809D86900,346.08,Canadian Dollar,346.08,Canadian Dollar,Cheque,0,APP100002,Dev Bhargava,100002,809D86900,receiver
2022/09/02 23:32,32294,80BD8D580,127390,80BD8CF00,770.11,US Dollar,770.11,US Dollar,ACH,0,APP100005,Raghav Sem,100005,80BD8CF00,receiver
2022/09/09 15:03,325630,809D8A770,210,809D86900,346.08,Canadian Dollar,346.08,Canadian Dollar,Cheque,0,APP100002,Dev Bhargava,100002,809D86900,receiver
2022/09/09 17:06,32294,80BD8D580,127390,80BD8CF00,770.11,US Dollar,770.11,US Dollar,ACH,0,APP100005,Raghav Sem,100005,80BD8CF00,receiver
