applicant_id,statement_id,bank_name,account_number,account_holder_name,aadhaar_id,statement_start_date,statement_end_date,months_analyzed,employment_type,monthly_salary,cibil_score,total_transactions,total_credits,total_debits,average_monthly_income,income_std,income_stability,average_monthly_expense,average_monthly_surplus,emi_to_income_ratio,savings_ratio,cash_withdrawal_ratio,investment_ratio,average_balance,minimum_balance,maximum_balance,average_transaction_amount,maximum_transaction_amount,minimum_transaction_amount,minimum_monthly_income,maximum_monthly_income,total_cash_withdrawal,total_discretionary,total_groceries,total_housing,total_loan_emi,total_transport,total_utilities,average_cash_withdrawal,average_discretionary,average_groceries,average_housing,average_loan_emi,average_transport,average_utilities,cash_withdrawal_count,discretionary_count,groceries_count,housing_count,loan_emi_count,transport_count,utilities_count,total_investment,average_investment,investment_count
1,BS-001-2026,SBI,SYN00120261000,Udyati Seth,8778 9328 7920,2026-04-01,2026-09-30,6,UNKNOWN,0,0,54,442917.79,222528.83000000002,73819.63166666667,172652.86076371817,0.0,37088.138333333336,36731.49333333333,0.10838124158435813,0.49758434855371236,0.05821825423699032,0.0,200198.63148148148,89447.14,313306.18,12323.085555555555,72633.67,1651.87,0.0,425974.17,12955.24,27174.120000000003,40168.34,60745.69,48003.98,15785.97,17695.489999999998,2159.2066666666665,4529.02,6694.723333333332,10124.281666666668,8000.663333333334,2630.995,2949.248333333333,6,6,6,6,6,6,6,0,0,0
10,BS-010-2026,Kotak Mahindra Bank,SYN01020261009,Ganga Vig,9910 2374 0955,2026-04-01,2026-09-30,6,UNKNOWN,0,0,54,428510.06,205126.02,71418.34333333334,166705.17907115925,0.0,34187.67,37230.67333333334,0.09150459618147587,0.5213040739346937,0.05133434558911639,0.0,208232.00148148148,102241.29,318147.95,11734.00148148148,70744.51,1313.75,0.0,411417.56,10530.01,25686.29,37225.6,58783.119999999995,39210.64,14780.49,18909.87,1755.0016666666668,4281.048333333333,6204.266666666666,9797.186666666666,6535.106666666667,2463.415,3151.645,6,6,6,6,6,6,6,0,0,0
2,BS-002-2026,HDFC Bank,SYN00220261001,Dev Bhargava,7421 8096 7929,2026-04-01,2026-09-30,5,UNKNOWN,0,0,48,347598.92,191526.2,69519.784,155450.96280510223,0.0,38305.240000000005,31214.543999999994,0.1002501916097246,0.4490023156573673,0.039006778184916734,0.0,145527.11333333334,68247.48,229217.22,11231.773333333333,59660.5,1030.22,0.0,347598.92,7470.82,26776.89,33232.41,52212.74,41816.23,15079.83,14937.28,1245.1366666666665,4462.815,5538.735000000001,8702.123333333333,6969.371666666667,2513.305,2489.5466666666666,6,6,6,6,6,6,6,0,0,0
3,BS-003-2026,ICICI Bank,SYN00320261002,Aachal Murty,8100 3390 7575,2026-04-01,2026-09-30,6,UNKNOWN,0,0,55,214718.46,302046.73,35786.409999999996,77362.12062538281,0.0,50341.121666666666,-14554.71166666667,0.30683861555266373,-0.40671058277895633,0.03667670893176033,0.0,-3427.480181818182,-69328.3,50695.69,9395.730727272727,32695.69,1306.04,0.0,192671.84,11078.08,27077.620000000003,38838.46,61281.55,87845.22,16371.93,17395.51,1846.3466666666666,4512.936666666667,6473.076666666667,10213.591666666667,10980.6525,2728.655,2899.2516666666666,6,6,6,6,8,6,6,0,0,0
4,BS-004-2026,Axis Bank,SYN00420261003,Oni Bora,8347 0174 6818,2026-04-01,2026-09-30,6,UNKNOWN,0,0,54,526857.99,295538.84,87809.665,206581.003610106,0.0,49256.473333333335,38553.19166666666,0.13795330312823006,0.43905407982898764,0.04812037565011759,0.0,232161.27962962963,114761.92,356437.72,15229.570925925927,86766.32,1564.58,0.0,509246.11,14221.44,35958.34,49103.29,81749.45999999999,72681.8,18841.37,22983.14,2370.2400000000002,5993.056666666666,8183.881666666667,13624.909999999998,12113.633333333333,3140.228333333333,3830.523333333333,6,6,6,6,6,6,6,0,0,0
5,BS-005-2026,Kotak Mahindra Bank,SYN00520261004,Raghav Sem,5384 0191 6144,2026-04-01,2026-09-30,6,UNKNOWN,0,0,52,454449.36,341912.59,75741.56,147590.3161488673,0.0,56985.43166666667,18756.128333333327,0.19151272903730604,0.24763324564919612,0.039785197731385086,0.0,101138.72038461539,37654.94,191427.02,15314.652884615383,62925.14,1862.18,0.0,372189.08999999997,13603.06,39731.55,52369.72,85306.99,101538.31,22703.11,26659.85,2267.1766666666667,6621.925,8728.286666666667,14217.831666666667,14505.472857142857,3783.851666666667,4443.308333333333,6,6,6,6,7,6,6,0,0,0
6,BS-006-2026,SBI,SYN00620261005,Brijesh Dhingra,1003 3076 6617,2026-04-01,2026-09-30,6,UNKNOWN,0,0,58,197323.73,301298.95,32887.28833333334,68166.3983957904,0.0,50216.49166666667,-17329.20333333333,0.2734867215412966,-0.5269270958946497,0.040687894863224716,0.0,-16487.483103448278,-91975.21,41168.04,8596.94275862069,29168.04,1231.09,0.0,170266.35,12259.220000000001,27042.38,34679.72,52454.810000000005,80948.13,14840.95,16203.77,2043.2033333333336,4507.0633333333335,5779.953333333334,8742.468333333334,8994.236666666668,2473.491666666667,2700.6283333333336,6,6,6,6,9,6,6,0,0,0
7,BS-007-2026,HDFC Bank,SYN00720261006,Joshua Sule,4514 5061 2316,2026-04-01,2026-09-30,6,UNKNOWN,0,0,54,580193.55,343115.99,96698.925,227397.4342972022,0.0,57185.99833333333,39512.92666666667,0.1561860865223338,0.40861805513005106,0.049639248814956134,0.0,271001.967962963,145953.36,406385.4,17098.324814814816,98033.59,1771.9,0.0,560596.11,17032.02,40190.71,55514.57,89444.61,90618.16,24654.77,25661.149999999998,2838.67,6698.451666666667,9252.428333333333,14907.435,15103.026666666667,4109.128333333333,4276.858333333333,6,6,6,6,6,6,6,0,0,0
8,BS-008-2026,ICICI Bank,SYN00820261007,Ikbal Barad,0772 8378 3269,2026-04-01,2026-09-30,6,UNKNOWN,0,0,53,351846.74,304687.87,58641.123333333344,112215.37811277769,0.0,50781.31166666667,7859.811666666676,0.20448490076754927,0.13403241991101025,0.055320548205611206,0.0,56271.54283018868,13317.45,113974.23,12387.445471698113,48260.83,2134.56,0.0,283276.46,16855.5,35175.0,48685.84,74718.58,83938.57,19059.77,21094.12,2809.25,5862.5,8114.306666666666,12453.096666666666,11991.224285714286,3176.6283333333336,3515.6866666666665,6,6,6,6,7,6,6,0,0,0
9,BS-009-2026,Axis Bank,SYN00920261008,Simon Jani,1663 0494 0323,2026-04-01,2026-09-30,6,UNKNOWN,0,0,55,228680.21,323986.31,38113.368333333325,83874.49803297361,0.0,53997.71833333333,-15884.350000000006,0.26231665389847253,-0.4167658408219935,0.040458376157930874,0.0,-15206.065636363635,-86306.12,45517.17,10048.482181818183,36517.17,1485.05,0.0,208529.03999999998,13107.960000000001,31447.489999999998,45192.15,70285.64,79982.17,15445.29,21201.82,2184.6600000000003,5241.248333333333,7532.025000000001,11714.273333333333,9997.77125,2574.215,3533.6366666666668,6,6,6,6,8,6,6,0,0,0
