statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,SBI SALARY CREDIT,0.0,68272.47,123272.47,CREDIT,SALARY,REF00100SAL,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,9715.2,0.0,116293.81,DEBIT,HOUSING,REF00100RNT,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI PAYMENT,8014.64,0.0,108279.18,DEBIT,LOAN_EMI,REF00100EMI,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-09,2026-04-09,UPI CREDIT - OTHER INCOME,0.0,2736.54,126009.01,CREDIT,OTHER_INCOME,REF00100OTH,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,2701.14,0.0,105578.03,DEBIT,UTILITIES,REF00100UTL,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,6647.98,0.0,98930.05,DEBIT,GROCERIES,REF00100GRC,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,3216.38,0.0,95713.67,DEBIT,TRANSPORT,REF00100TRN,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,4261.78,0.0,91451.88,DEBIT,DISCRETIONARY,REF00100SHP,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,2004.74,0.0,89447.14,DEBIT,CASH_WITHDRAWAL,REF00100ATM,Udyati Seth,8778 9328 7920,001,ACCEPT
BS-001-2026,SBI,SYN00120261000,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,SBI SALARY CREDIT,0.0,71465.02,160912.16,CREDIT,SALARY,REF00101SAL,Udyati Seth,8778 9328 7920,001,ACCEPT
