statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,ICICI Bank SALARY CREDIT,0.0,32695.69,50695.69,CREDIT,SALARY,REF00300SAL,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,9744.36,0.0,40951.33,DEBIT,HOUSING,REF00300RNT,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI - PRESENTED,10963.98,0.0,29987.35,DEBIT,LOAN_EMI,REF00300EMI,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-08,2026-04-08,EMI RETURN / REVERSAL,0.0,10963.98,40951.33,CREDIT,EMI_RETURN,REF00300EMIR,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,LOAN EMI - RE-PRESENTED,10963.98,0.0,29987.35,DEBIT,LOAN_EMI,REF00300EMI2,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,2955.07,0.0,27032.28,DEBIT,UTILITIES,REF00300UTL,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,6744.42,0.0,20287.87,DEBIT,GROCERIES,REF00300GRC,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,2120.02,0.0,18167.84,DEBIT,TRANSPORT,REF00300TRN,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,4866.11,0.0,13301.73,DEBIT,DISCRETIONARY,REF00300SHP,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,2429.53,0.0,10872.2,DEBIT,CASH_WITHDRAWAL,REF00300ATM,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-04-29,2026-04-29,OVERDRAFT UTILISATION,3446.82,0.0,7425.38,DEBIT,OVERDRAFT,REF00300OD,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,ICICI Bank SALARY CREDIT,0.0,31631.75,39057.13,CREDIT,SALARY,REF00301SAL,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-05,2026-05-05,RENT / HOUSEHOLD PAYMENT,9251.8,0.0,29805.33,DEBIT,HOUSING,REF00301RNT,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-07,2026-05-07,LOAN EMI - PRESENTED,11082.64,0.0,18722.68,DEBIT,LOAN_EMI,REF00301EMI,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-08,2026-05-08,EMI RETURN / REVERSAL,0.0,11082.64,29805.33,CREDIT,EMI_RETURN,REF00301EMIR,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,LOAN EMI - RE-PRESENTED,11082.64,0.0,18722.68,DEBIT,LOAN_EMI,REF00301EMI2,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,UTILITY BILL PAYMENT,3045.08,0.0,15677.6,DEBIT,UTILITIES,REF00301UTL,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-16,2026-05-16,UPI - GROCERIES,5952.45,0.0,9725.14,DEBIT,GROCERIES,REF00301GRC,Aachal Murty,8100 3390 7575,003,REJECT
BS-003-2026,ICICI Bank,SYN00320261002,2026-04-01,2026-09-30,True,2026-05-20,2026-05-20,UPI - TRANSPORT,2194.49,0.0,7530.65,DEBIT,TRANSPORT,REF00301TRN,Aachal Murty,8100 3390 7575,003,REJECT
