statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,Axis Bank SALARY CREDIT,0.0,84156.83,162156.83,CREDIT,SALARY,REF00400SAL,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,13041.32,0.0,152188.02,DEBIT,HOUSING,REF00400RNT,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI PAYMENT,12202.87,0.0,139985.16,DEBIT,LOAN_EMI,REF00400EMI,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-09,2026-04-09,UPI CREDIT - OTHER INCOME,0.0,3072.51,165229.34,CREDIT,OTHER_INCOME,REF00400OTH,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,3432.46,0.0,136552.69,DEBIT,UTILITIES,REF00400UTL,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,8798.63,0.0,127754.06,DEBIT,GROCERIES,REF00400GRC,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,3442.74,0.0,124311.33,DEBIT,TRANSPORT,REF00400TRN,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,7539.23,0.0,116772.09,DEBIT,DISCRETIONARY,REF00400SHP,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,2010.17,0.0,114761.92,DEBIT,CASH_WITHDRAWAL,REF00400ATM,Oni Bora,8347 0174 6818,004,ACCEPT
BS-004-2026,Axis Bank,SYN00420261003,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,Axis Bank SALARY CREDIT,0.0,83956.6,198718.52,CREDIT,SALARY,REF00401SAL,Oni Bora,8347 0174 6818,004,ACCEPT
