statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,SBI SALARY CREDIT,0.0,29168.04,41168.04,CREDIT,SALARY,REF00600SAL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,8709.45,0.0,32458.59,DEBIT,HOUSING,REF00600RNT,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI - PRESENTED,9161.25,0.0,23297.34,DEBIT,LOAN_EMI,REF00600EMI,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-08,2026-04-08,EMI RETURN / REVERSAL,0.0,9161.25,32458.59,CREDIT,EMI_RETURN,REF00600EMIR,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,LOAN EMI - RE-PRESENTED,9161.25,0.0,23297.34,DEBIT,LOAN_EMI,REF00600EMI2,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,2440.92,0.0,20856.42,DEBIT,UTILITIES,REF00600UTL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,6492.48,0.0,14363.94,DEBIT,GROCERIES,REF00600GRC,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,2272.36,0.0,12091.58,DEBIT,TRANSPORT,REF00600TRN,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,5246.64,0.0,6844.94,DEBIT,DISCRETIONARY,REF00600SHP,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,2352.46,0.0,4492.48,DEBIT,CASH_WITHDRAWAL,REF00600ATM,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-04-29,2026-04-29,OVERDRAFT UTILISATION,5802.48,0.0,-1310.0,DEBIT,OVERDRAFT,REF00600OD,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,SBI SALARY CREDIT,0.0,28546.04,27236.04,CREDIT,SALARY,REF00601SAL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-05,2026-05-05,RENT / HOUSEHOLD PAYMENT,8506.43,0.0,18729.61,DEBIT,HOUSING,REF00601RNT,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-07,2026-05-07,LOAN EMI - PRESENTED,8943.26,0.0,9786.35,DEBIT,LOAN_EMI,REF00601EMI,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-08,2026-05-08,EMI RETURN / REVERSAL,0.0,8943.26,18729.61,CREDIT,EMI_RETURN,REF00601EMIR,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,LOAN EMI - RE-PRESENTED,8943.26,0.0,9786.35,DEBIT,LOAN_EMI,REF00601EMI2,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,UTILITY BILL PAYMENT,3027.18,0.0,6759.17,DEBIT,UTILITIES,REF00601UTL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-16,2026-05-16,UPI - GROCERIES,4926.23,0.0,1832.94,DEBIT,GROCERIES,REF00601GRC,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-20,2026-05-20,UPI - TRANSPORT,2569.85,0.0,-736.91,DEBIT,TRANSPORT,REF00601TRN,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-23,2026-05-23,CARD / UPI - SHOPPING,4652.11,0.0,-5389.02,DEBIT,DISCRETIONARY,REF00601SHP,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-26,2026-05-26,ATM CASH WITHDRAWAL,1231.09,0.0,-6620.11,DEBIT,CASH_WITHDRAWAL,REF00601ATM,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-05-29,2026-05-29,OVERDRAFT UTILISATION,5330.66,0.0,-11950.77,DEBIT,OVERDRAFT,REF00601OD,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-02,2026-06-02,SBI SALARY CREDIT,0.0,28432.0,16481.23,CREDIT,SALARY,REF00602SAL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-05,2026-06-05,RENT / HOUSEHOLD PAYMENT,9076.34,0.0,7404.89,DEBIT,HOUSING,REF00602RNT,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-07,2026-06-07,LOAN EMI - PRESENTED,8952.87,0.0,-1547.98,DEBIT,LOAN_EMI,REF00602EMI,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-08,2026-06-08,EMI RETURN / REVERSAL,0.0,8952.87,7404.89,CREDIT,EMI_RETURN,REF00602EMIR,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-12,2026-06-12,LOAN EMI - RE-PRESENTED,8952.87,0.0,-1547.98,DEBIT,LOAN_EMI,REF00602EMI2,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-12,2026-06-12,UTILITY BILL PAYMENT,2515.54,0.0,-4063.52,DEBIT,UTILITIES,REF00602UTL,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-16,2026-06-16,UPI - GROCERIES,6362.97,0.0,-10426.49,DEBIT,GROCERIES,REF00602GRC,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-20,2026-06-20,UPI - TRANSPORT,2763.15,0.0,-13189.64,DEBIT,TRANSPORT,REF00602TRN,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-23,2026-06-23,CARD / UPI - SHOPPING,3537.01,0.0,-16726.65,DEBIT,DISCRETIONARY,REF00602SHP,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-26,2026-06-26,ATM CASH WITHDRAWAL,2267.3,0.0,-18993.95,DEBIT,CASH_WITHDRAWAL,REF00602ATM,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-06-28,2026-06-28,NEFT DEBIT - LARGE TRANSFER,25880.84,0.0,-44874.79,DEBIT,LARGE_DEBIT,REF00602LDB,Brijesh Dhingra,1003 3076 6617,006,REJECT
BS-006-2026,SBI,SYN00620261005,2026-04-01,2026-09-30,True,2026-07-02,2026-07-02,SBI SALARY CREDIT,0.0,28606.46,-16268.33,CREDIT,SALARY,REF00603SAL,Brijesh Dhingra,1003 3076 6617,006,REJECT
