statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,HDFC Bank SALARY CREDIT,0.0,91512.6,201512.6,CREDIT,SALARY,REF00700SAL,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,16263.05,0.0,187811.44,DEBIT,HOUSING,REF00700RNT,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI PAYMENT,15066.82,0.0,172744.62,DEBIT,LOAN_EMI,REF00700EMI,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-09,2026-04-09,UPI CREDIT - OTHER INCOME,0.0,2561.89,204074.49,CREDIT,OTHER_INCOME,REF00700OTH,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,3551.12,0.0,169193.5,DEBIT,UTILITIES,REF00700UTL,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,9891.73,0.0,159301.77,DEBIT,GROCERIES,REF00700GRC,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,4085.79,0.0,155215.98,DEBIT,TRANSPORT,REF00700TRN,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,5402.75,0.0,149813.24,DEBIT,DISCRETIONARY,REF00700SHP,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,3859.87,0.0,145953.36,DEBIT,CASH_WITHDRAWAL,REF00700ATM,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,HDFC Bank SALARY CREDIT,0.0,93569.36,239522.72,CREDIT,SALARY,REF00701SAL,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-05,2026-05-05,RENT / HOUSEHOLD PAYMENT,15785.95,0.0,226995.11,DEBIT,HOUSING,REF00701RNT,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-07,2026-05-07,LOAN EMI PAYMENT,15129.53,0.0,211865.58,DEBIT,LOAN_EMI,REF00701EMI,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-09,2026-05-09,UPI CREDIT - OTHER INCOME,0.0,3258.34,242781.06,CREDIT,OTHER_INCOME,REF00701OTH,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,UTILITY BILL PAYMENT,3899.65,0.0,207965.93,DEBIT,UTILITIES,REF00701UTL,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-16,2026-05-16,UPI - GROCERIES,7758.06,0.0,200207.87,DEBIT,GROCERIES,REF00701GRC,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-20,2026-05-20,UPI - TRANSPORT,4464.15,0.0,195743.72,DEBIT,TRANSPORT,REF00701TRN,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-23,2026-05-23,CARD / UPI - SHOPPING,7011.66,0.0,188732.07,DEBIT,DISCRETIONARY,REF00701SHP,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-05-26,2026-05-26,ATM CASH WITHDRAWAL,2924.78,0.0,185807.28,DEBIT,CASH_WITHDRAWAL,REF00701ATM,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-06-02,2026-06-02,HDFC Bank SALARY CREDIT,0.0,95899.95,281707.23,CREDIT,SALARY,REF00702SAL,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-06-05,2026-06-05,RENT / HOUSEHOLD PAYMENT,16268.78,0.0,267946.62,DEBIT,HOUSING,REF00702RNT,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-06-07,2026-06-07,LOAN EMI PAYMENT,15282.77,0.0,252663.85,DEBIT,LOAN_EMI,REF00702EMI,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-06-09,2026-06-09,UPI CREDIT - OTHER INCOME,0.0,2508.16,284215.4,CREDIT,OTHER_INCOME,REF00702OTH,Joshua Sule,4514 5061 2316,007,ACCEPT
BS-007-2026,HDFC Bank,SYN00720261006,2026-04-01,2026-09-30,True,2026-06-12,2026-06-12,UTILITY BILL PAYMENT,4562.96,0.0,248100.89,DEBIT,UTILITIES,REF00702UTL,Joshua Sule,4514 5061 2316,007,ACCEPT
