statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,Axis Bank SALARY CREDIT,0.0,36517.17,45517.17,CREDIT,SALARY,REF00900SAL,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,11118.99,0.0,34398.18,DEBIT,HOUSING,REF00900RNT,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI - PRESENTED,9989.12,0.0,24409.06,DEBIT,LOAN_EMI,REF00900EMI,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-08,2026-04-08,EMI RETURN / REVERSAL,0.0,9989.12,34398.18,CREDIT,EMI_RETURN,REF00900EMIR,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,LOAN EMI - RE-PRESENTED,9989.12,0.0,24409.06,DEBIT,LOAN_EMI,REF00900EMI2,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,3388.1,0.0,21020.96,DEBIT,UTILITIES,REF00900UTL,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,7830.38,0.0,13190.58,DEBIT,GROCERIES,REF00900GRC,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,2587.04,0.0,10603.53,DEBIT,TRANSPORT,REF00900TRN,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,6568.12,0.0,4035.41,DEBIT,DISCRETIONARY,REF00900SHP,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,2838.56,0.0,1196.85,DEBIT,CASH_WITHDRAWAL,REF00900ATM,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-04-29,2026-04-29,OVERDRAFT UTILISATION,3624.26,0.0,-2427.4,DEBIT,OVERDRAFT,REF00900OD,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,Axis Bank SALARY CREDIT,0.0,33099.73,30672.33,CREDIT,SALARY,REF00901SAL,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-05,2026-05-05,RENT / HOUSEHOLD PAYMENT,10527.86,0.0,20144.47,DEBIT,HOUSING,REF00901RNT,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-07,2026-05-07,LOAN EMI - PRESENTED,10162.05,0.0,9982.42,DEBIT,LOAN_EMI,REF00901EMI,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-08,2026-05-08,EMI RETURN / REVERSAL,0.0,10162.05,20144.47,CREDIT,EMI_RETURN,REF00901EMIR,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,LOAN EMI - RE-PRESENTED,10162.05,0.0,9982.42,DEBIT,LOAN_EMI,REF00901EMI2,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,UTILITY BILL PAYMENT,3984.94,0.0,5997.48,DEBIT,UTILITIES,REF00901UTL,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-16,2026-05-16,UPI - GROCERIES,7746.77,0.0,-1749.3,DEBIT,GROCERIES,REF00901GRC,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-20,2026-05-20,UPI - TRANSPORT,2499.81,0.0,-4249.11,DEBIT,TRANSPORT,REF00901TRN,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-23,2026-05-23,CARD / UPI - SHOPPING,5020.0,0.0,-9269.11,DEBIT,DISCRETIONARY,REF00901SHP,Simon Jani,1663 0494 0323,009,REJECT
BS-009-2026,Axis Bank,SYN00920261008,2026-04-01,2026-09-30,True,2026-05-26,2026-05-26,ATM CASH WITHDRAWAL,3005.23,0.0,-12274.34,DEBIT,CASH_WITHDRAWAL,REF00901ATM,Simon Jani,1663 0494 0323,009,REJECT
