statement_id,bank_name,account_number,statement_start_date,statement_end_date,synthetic_data,transaction_date,value_date,description,debit,credit,balance,transaction_type,category,reference_id,account_holder_name,aadhaar_id,applicant_id,expected_test_scenario
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-02,2026-04-02,Kotak Mahindra Bank SALARY CREDIT,0.0,69400.74,131400.74,CREDIT,SALARY,REF01000SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-05,2026-04-05,RENT / HOUSEHOLD PAYMENT,9057.75,0.0,127082.48,DEBIT,HOUSING,REF01000RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-07,2026-04-07,LOAN EMI PAYMENT,6625.95,0.0,120456.53,DEBIT,LOAN_EMI,REF01000EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-09,2026-04-09,UPI CREDIT - OTHER INCOME,0.0,4739.5,136140.23,CREDIT,OTHER_INCOME,REF01000OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-12,2026-04-12,UTILITY BILL PAYMENT,2953.69,0.0,117502.84,DEBIT,UTILITIES,REF01000UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-16,2026-04-16,UPI - GROCERIES,6686.94,0.0,110815.9,DEBIT,GROCERIES,REF01000GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-20,2026-04-20,UPI - TRANSPORT,2481.69,0.0,108334.21,DEBIT,TRANSPORT,REF01000TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-23,2026-04-23,CARD / UPI - SHOPPING,4532.16,0.0,103802.05,DEBIT,DISCRETIONARY,REF01000SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-04-26,2026-04-26,ATM CASH WITHDRAWAL,1560.76,0.0,102241.29,DEBIT,CASH_WITHDRAWAL,REF01000ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-02,2026-05-02,Kotak Mahindra Bank SALARY CREDIT,0.0,66782.43,169023.72,CREDIT,SALARY,REF01001SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-05,2026-05-05,RENT / HOUSEHOLD PAYMENT,9268.33,0.0,163786.09,DEBIT,HOUSING,REF01001RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-07,2026-05-07,LOAN EMI PAYMENT,6557.9,0.0,157228.19,DEBIT,LOAN_EMI,REF01001EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-09,2026-05-09,UPI CREDIT - OTHER INCOME,0.0,4030.69,173054.42,CREDIT,OTHER_INCOME,REF01001OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-12,2026-05-12,UTILITY BILL PAYMENT,3572.32,0.0,153655.87,DEBIT,UTILITIES,REF01001UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-16,2026-05-16,UPI - GROCERIES,7088.14,0.0,146567.73,DEBIT,GROCERIES,REF01001GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-20,2026-05-20,UPI - TRANSPORT,3008.22,0.0,143559.51,DEBIT,TRANSPORT,REF01001TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-23,2026-05-23,CARD / UPI - SHOPPING,5375.23,0.0,138184.28,DEBIT,DISCRETIONARY,REF01001SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-05-26,2026-05-26,ATM CASH WITHDRAWAL,1857.05,0.0,136327.23,DEBIT,CASH_WITHDRAWAL,REF01001ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-02,2026-06-02,Kotak Mahindra Bank SALARY CREDIT,0.0,68892.49,205219.72,CREDIT,SALARY,REF01002SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-05,2026-06-05,RENT / HOUSEHOLD PAYMENT,10675.49,0.0,197633.36,DEBIT,HOUSING,REF01002RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-07,2026-06-07,LOAN EMI PAYMENT,6425.19,0.0,191208.17,DEBIT,LOAN_EMI,REF01002EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-09,2026-06-09,UPI CREDIT - OTHER INCOME,0.0,3089.14,208308.85,CREDIT,OTHER_INCOME,REF01002OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-12,2026-06-12,UTILITY BILL PAYMENT,3557.34,0.0,187650.84,DEBIT,UTILITIES,REF01002UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-16,2026-06-16,UPI - GROCERIES,5991.89,0.0,181658.95,DEBIT,GROCERIES,REF01002GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-20,2026-06-20,UPI - TRANSPORT,1995.58,0.0,179663.37,DEBIT,TRANSPORT,REF01002TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-23,2026-06-23,CARD / UPI - SHOPPING,4743.14,0.0,174920.23,DEBIT,DISCRETIONARY,REF01002SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-06-26,2026-06-26,ATM CASH WITHDRAWAL,1665.0,0.0,173255.23,DEBIT,CASH_WITHDRAWAL,REF01002ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-02,2026-07-02,Kotak Mahindra Bank SALARY CREDIT,0.0,70744.51,243999.73,CREDIT,SALARY,REF01003SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-05,2026-07-05,RENT / HOUSEHOLD PAYMENT,9913.93,0.0,235807.97,DEBIT,HOUSING,REF01003RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-07,2026-07-07,LOAN EMI PAYMENT,6614.4,0.0,229193.57,DEBIT,LOAN_EMI,REF01003EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-09,2026-07-09,UPI CREDIT - OTHER INCOME,0.0,1722.16,245721.9,CREDIT,OTHER_INCOME,REF01003OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-12,2026-07-12,UTILITY BILL PAYMENT,3365.16,0.0,225828.4,DEBIT,UTILITIES,REF01003UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-16,2026-07-16,UPI - GROCERIES,5835.21,0.0,219993.19,DEBIT,GROCERIES,REF01003GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-20,2026-07-20,UPI - TRANSPORT,2566.33,0.0,217426.87,DEBIT,TRANSPORT,REF01003TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-23,2026-07-23,CARD / UPI - SHOPPING,3842.86,0.0,213584.01,DEBIT,DISCRETIONARY,REF01003SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-07-26,2026-07-26,ATM CASH WITHDRAWAL,1766.49,0.0,211817.52,DEBIT,CASH_WITHDRAWAL,REF01003ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-02,2026-08-02,Kotak Mahindra Bank SALARY CREDIT,0.0,66944.01,278761.53,CREDIT,SALARY,REF01004SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-05,2026-08-05,RENT / HOUSEHOLD PAYMENT,9330.16,0.0,271303.38,DEBIT,HOUSING,REF01004RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-07,2026-08-07,LOAN EMI PAYMENT,6532.06,0.0,264771.32,DEBIT,LOAN_EMI,REF01004EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-09,2026-08-09,UPI CREDIT - OTHER INCOME,0.0,1872.01,280633.54,CREDIT,OTHER_INCOME,REF01004OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-12,2026-08-12,UTILITY BILL PAYMENT,3006.14,0.0,261765.19,DEBIT,UTILITIES,REF01004UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-16,2026-08-16,UPI - GROCERIES,5648.68,0.0,256116.51,DEBIT,GROCERIES,REF01004GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-20,2026-08-20,UPI - TRANSPORT,2428.88,0.0,253687.62,DEBIT,TRANSPORT,REF01004TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-23,2026-08-23,CARD / UPI - SHOPPING,3465.08,0.0,250222.54,DEBIT,DISCRETIONARY,REF01004SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-08-26,2026-08-26,ATM CASH WITHDRAWAL,2366.96,0.0,247855.58,DEBIT,CASH_WITHDRAWAL,REF01004ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-02,2026-09-02,Kotak Mahindra Bank SALARY CREDIT,0.0,68653.38,316508.96,CREDIT,SALARY,REF01005SAL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-05,2026-09-05,RENT / HOUSEHOLD PAYMENT,10537.46,0.0,307610.49,DEBIT,HOUSING,REF01005RNT,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-07,2026-09-07,LOAN EMI PAYMENT,6455.14,0.0,301155.35,DEBIT,LOAN_EMI,REF01005EMI,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-09,2026-09-09,UPI CREDIT - OTHER INCOME,0.0,1639.0,318147.95,CREDIT,OTHER_INCOME,REF01005OTH,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-12,2026-09-12,UTILITY BILL PAYMENT,2455.22,0.0,298700.13,DEBIT,UTILITIES,REF01005UTL,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-16,2026-09-16,UPI - GROCERIES,5974.74,0.0,292725.39,DEBIT,GROCERIES,REF01005GRC,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-20,2026-09-20,UPI - TRANSPORT,2299.79,0.0,290425.6,DEBIT,TRANSPORT,REF01005TRN,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-23,2026-09-23,CARD / UPI - SHOPPING,3727.82,0.0,286697.78,DEBIT,DISCRETIONARY,REF01005SHP,Ganga Vig,9910 2374 0955,010,ACCEPT
BS-010-2026,Kotak Mahindra Bank,SYN01020261009,2026-04-01,2026-09-30,True,2026-09-26,2026-09-26,ATM CASH WITHDRAWAL,1313.75,0.0,285384.03,DEBIT,CASH_WITHDRAWAL,REF01005ATM,Ganga Vig,9910 2374 0955,010,ACCEPT
